,title,date_created,keywords,media_type,description,nasa_id,links
201,Is Climate Change the Same as Global Warming? We Asked A NASA Expert ,2023-07-27T00:00:00Z,"['We Asked A NASA Expert', 'Climate Change', 'Global Warming', 'Earth', 'Greenhouse Gases']",video,"Is climate change the same as global warming? They’re not exactly the same, but they are related. The warming of Earth — or global warming — is just one factor that makes up a range of changes that are happening to our planet, which is climate change. NASA scientist Dr. Yolanda Shea explains more.",Is Climate Change the Same as Global Warming_ - Horizontal Video,"[{'href': 'https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 28000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 11000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 4200, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 6500, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/Is Climate Change the Same as Global Warming_ - Horizontal Video/Is Climate Change the Same as Global Warming_ - Horizontal Video.srt', 'rel': 'captions'}]"
202,Ask A Climate Scientist - Climate Change and Humans,2013-12-03T00:00:00Z,"['Precipitation', 'Sea Level Rise', 'Climate Change', 'Food Supply', 'Earth']",video,"How does climate change affect humans? That's the question we asked Tom Wagner, Program Scientist for Cryospheric Research at NASA. In four different ways, he says, from rainfall patterns and sea levels rising to food production and ocean acidification. First, ""as the planet warms up, we're going to redistribute rainfall, which is going to affect our water resources and parts of North America may get a lot drier.""  Second, ""as the polar ice melts, sea levels are going to rise."" The world's major cities, and a lot of people, are right on the coasts and rising sea levels are going to impact them.  Third, thinking about food, the ""distributions where we can grow food are going to change as the planet warms up."" So the range over which you can grow corn and other crops will change.  Fourth, says Tom Wagner, ""the oceans are going to get more acidic as more CO2 dissolves in them."" There are untold ramifications from that, including the possibility of radically altering the food web in the ocean, ""which can affect everything from the composition of the atmosphere to the ability of the oceans to provide food for us.""",GSFC_20131203_AACS_m11426_Affect_Humans,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 35000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 15000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 6900, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 11000, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20131203_AACS_m11426_Affect_Humans/GSFC_20131203_AACS_m11426_Affect_Humans.vtt', 'rel': 'captions'}]"
203,NASA Scientists Help Citites Prepare for Climate Change,2016-11-16T00:00:00Z,"['Earth', 'Landsat', 'New York City', 'Earth Science', 'Climate Change', 'MODIS']",video,"Researchers and city officials from two of the world’s major metropolises, New York City and Rio de Janeiro, are coming together to share their insights and solutions against specific climate risks afflicting both their cities— sea level rise, increased temperatures and changes in water quality.",GSFC_20161116_Climate_m12426_Change,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 43000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 16000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 5800, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 12000, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20161116_Climate_m12426_Change/GSFC_20161116_Climate_m12426_Change.vtt', 'rel': 'captions'}]"
204,Ask A Climate Scientist - Food Production,2013-09-18T00:00:00Z,"['Climate Change', 'Food Supply', 'Earth']",video,"Will climate change drastically reduce our food production, or will it change what we produce? This question was posed to Goddard Space Flight Center's Molly Brown as part of NASA's Ask A Climate Scientist campaign.",GSFC_20130918_AACS_m11356_Food,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 25000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 12000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 5100, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 8100, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130918_AACS_m11356_Food/GSFC_20130918_AACS_m11356_Food.vtt', 'rel': 'captions'}]"
205,Gary Jedlovec Climate Change Presentation to Green Team,2019-12-04T00:00:00Z,"['MSFC', 'Gary Jedlovec', 'Green Team', 'Climate Change']",image,"NASA climatologist Gary Jedlovec, a member of the Earth Science team in Marshall Space Flight Center’s Science and Technology Office, discusses the satellite technology and ground-based tools used to record and trend regional and global climate changes over the past century and to provide forecast models looking 100 years into the future. Jedlovec and his team, which partners with National Oceanic and Atmospheric Association researchers and their colleagues around the world, spoke to the Marshall “Green Team” -- environmental engineers and support personnel who help guide Marshall’s focus on safer, more cost-efficient energy use. The Green Team, led by Marshall Sustainability Engineer Donna Leach of the Environmental Engineering & Occupational Health Office, currently is preparing activities and outreach for Earth Day 2020, set for next April.",MSFC-201901694,"[{'href': 'https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 127000, 'height': 853}, {'href': 'https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 42000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 42000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 253000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~orig.tif', 'rel': 'canonical', 'render': 'image', 'height': 5504, 'width': 8256, 'size': 61000000}]"
206,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,2001-12-11T23:09:44Z,"['Mars', 'Mars Global Surveyor MGS']",image,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,PIA03179,"[{'href': 'https://images-assets.nasa.gov/image/PIA03179/PIA03179~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 1048, 'size': 118000, 'height': 524}, {'href': 'https://images-assets.nasa.gov/image/PIA03179/PIA03179~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 524, 'width': 1048, 'size': 120000}]"
207,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070019,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 183000, 'height': 853}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 61000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 61000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 374000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 5504, 'width': 8256, 'size': 37748736}]"
208,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070014,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 220000, 'height': 1008}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 61000, 'height': 504}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 61000, 'height': 504}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 488000, 'height': 1512}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 4435, 'width': 5629, 'size': 23068672}]"
209,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort listen as Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate speaks, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070007,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 145000, 'height': 853}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 43000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 43000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 361000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 5504, 'width': 8256, 'size': 48234496}]"
210,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070018,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 204000, 'height': 844}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 56000, 'height': 422}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 56000, 'height': 422}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 448000, 'height': 1266}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 5410, 'width': 8204, 'size': 36700160}]"
211,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort listen as Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate speaks, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070008,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 149000, 'height': 853}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 45000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 45000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 356000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 5504, 'width': 8256, 'size': 41943040}]"
212,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'Matthew Pearce', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Matthew Pearce, education officer at NASA’s Goddard Institute for Space Studies and project lead for the Climate Change Research Initiative (CCRI), speaks with the CCRI cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070013,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 159000, 'height': 779}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 47000, 'height': 389}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 47000, 'height': 389}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 347000, 'height': 1168}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 4916, 'width': 8075, 'size': 34603008}]"
213,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'Matthew Pearce', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Matthew Pearce, education officer at NASA’s Goddard Institute for Space Studies and project lead for the Climate Change Research Initiative (CCRI), speaks with the CCRI cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070012,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 150000, 'height': 853}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 33000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 33000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 418000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 5504, 'width': 8256, 'size': 49283072}]"
214,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070016,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 119000, 'height': 765}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 40000, 'height': 382}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 40000, 'height': 382}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 249000, 'height': 1147}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 4594, 'width': 7686, 'size': 30408704}]"
215,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Jack Kaye', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Jack Kaye, associate director for research in the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070010,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 122000, 'height': 675}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 37000, 'height': 337}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 37000, 'height': 337}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 264000, 'height': 1013}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 4108, 'width': 7781, 'size': 27262976}]"
216,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'Cynthia Hall', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Cynthia Hall, support scientist for the Early Career Research Program in NASA’s Earth Science Division, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070011,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 898, 'size': 146000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 449, 'size': 45000, 'height': 640}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 449, 'size': 45000, 'height': 640}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1348, 'size': 344000, 'height': 1920}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 7733, 'width': 5430, 'size': 52428800}]"
217,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070020,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 146000, 'height': 913}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 43000, 'height': 456}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 43000, 'height': 456}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 353000, 'height': 1370}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 4341, 'width': 6080, 'size': 23068672}]"
218,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07T00:00:00Z,"['Climate Change Research Initiative (CCRI)', 'DC', 'Kate Calvin', 'Mary W. Jackson NASA Headquarters', 'NASA Early Career Research Program (ECR)', 'Washington']",image,"Kate Calvin, NASA’s Chief Scientist, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070001,"[{'href': 'https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 123000, 'height': 853}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 32000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 32000, 'height': 426}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 317000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 5504, 'width': 8256, 'size': 48234496}]"
