Column,title,date_created,keywords,media_type,description,nasa_id,links
5,Gary Jedlovec Climate Change Presentation to Green Team,2019-12-04,MSFC,image,"NASA climatologist Gary Jedlovec, a member of the Earth Science team in Marshall Space Flight Center’s Science and Technology Office, discusses the satellite technology and ground-based tools used to record and trend regional and global climate changes over the past century and to provide forecast models looking 100 years into the future. Jedlovec and his team, which partners with National Oceanic and Atmospheric Association researchers and their colleagues around the world, spoke to the Marshall “Green Team” -- environmental engineers and support personnel who help guide Marshall’s focus on safer, more cost-efficient energy use. The Green Team, led by Marshall Sustainability Engineer Donna Leach of the Environmental Engineering & Occupational Health Office, currently is preparing activities and outreach for Earth Day 2020, set for next April.",MSFC-201901694,https://images-assets.nasa.gov/image/MSFC-201901694/MSFC-201901694~medium.jpg
,Gary Jedlovec Climate Change Presentation to Green Team,2019-12-04,Gary Jedlovec,,,,
,Gary Jedlovec Climate Change Presentation to Green Team,2019-12-04,Green Team,,,,
,Gary Jedlovec Climate Change Presentation to Green Team,2019-12-04,Climate Change,,,,
6,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,2001-12-11,Mars,image,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,PIA03179,https://images-assets.nasa.gov/image/PIA03179/PIA03179~thumb.jpg
,MOC Observes Changes in the South Polar Cap: Evidence for Recent Climate Change on Mars,2001-12-11,Mars Global Surveyor MGS,,,,
7,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070019,https://images-assets.nasa.gov/image/NHQ202408070019/NHQ202408070019~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
8,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070014,https://images-assets.nasa.gov/image/NHQ202408070014/NHQ202408070014~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
9,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort listen as Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate speaks, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070007,https://images-assets.nasa.gov/image/NHQ202408070007/NHQ202408070007~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
10,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070018,https://images-assets.nasa.gov/image/NHQ202408070018/NHQ202408070018~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
11,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort listen as Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate speaks, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070008,https://images-assets.nasa.gov/image/NHQ202408070008/NHQ202408070008~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
12,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Matthew Pearce, education officer at NASA’s Goddard Institute for Space Studies and project lead for the Climate Change Research Initiative (CCRI), speaks with the CCRI cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070013,https://images-assets.nasa.gov/image/NHQ202408070013/NHQ202408070013~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Matthew Pearce,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
13,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Matthew Pearce, education officer at NASA’s Goddard Institute for Space Studies and project lead for the Climate Change Research Initiative (CCRI), speaks with the CCRI cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070012,https://images-assets.nasa.gov/image/NHQ202408070012/NHQ202408070012~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Matthew Pearce,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
14,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070016,https://images-assets.nasa.gov/image/NHQ202408070016/NHQ202408070016~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
15,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Jack Kaye, associate director for research in the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070010,https://images-assets.nasa.gov/image/NHQ202408070010/NHQ202408070010~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Jack Kaye,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
16,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Cynthia Hall, support scientist for the Early Career Research Program in NASA’s Earth Science Division, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070011,https://images-assets.nasa.gov/image/NHQ202408070011/NHQ202408070011~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Cynthia Hall,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
17,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070020,https://images-assets.nasa.gov/image/NHQ202408070020/NHQ202408070020~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
18,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Kate Calvin, NASA’s Chief Scientist, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070001,https://images-assets.nasa.gov/image/NHQ202408070001/NHQ202408070001~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Kate Calvin,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
19,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Jack Kaye, associate director for research in the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070009,https://images-assets.nasa.gov/image/NHQ202408070009/NHQ202408070009~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Jack Kaye,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
20,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Members of the Climate Change Research Initiative (CCRI) cohort discuss their research during a poster session, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070017,https://images-assets.nasa.gov/image/NHQ202408070017/NHQ202408070017~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
21,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"The Climate Change Research Initiative (CCRI) cohort poses for a group photo, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070015,https://images-assets.nasa.gov/image/NHQ202408070015/NHQ202408070015~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
22,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Kate Calvin, NASA’s Chief Scientist, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070005,https://images-assets.nasa.gov/image/NHQ202408070005/NHQ202408070005~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Kate Calvin,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
23,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,Global Warming,video,"New data visualizations from the NASA Center for Climate Simulation and NASA's Scientific Visualization Studio show how climate models – those used in the new report from the United Nations' Intergovernmental Panel on Climate Change (IPCC) – estimate how temperature and precipitation patterns could change throughout the 21st century. For the IPCC's Physical Science Basis and Summary for Policymakers reports, scientists referenced an international climate modeling effort to study how the Earth might respond to four different scenarios of how much carbon dioxide and other greenhouse gases would be emitted into the atmosphere throughout the 21st century. The Summary for Policymakers, the first official piece of the group's Fifth Assessment Report, was released Fri., Sept. 27.  That modeling effort, called the Coupled Model Intercomparison Project Phase 5 (CMIP5), includes dozens of climate models from institutions around the world, including from NASA's Goddard Institute for Space Studies.  To produce visualizations that show temperature and precipitation changes similar to those included in the IPCC report, the NASA Center for Climate Simulation calculated mean model results for each of the four emissions scenarios. The final products are visual representations how much temperature and precipitation patterns would change through 2100 compared to the historical average from the end of the 20th century. The changes shown compare the model projections to the average temperature and precipitation benchmarks observed from 1971-2000. This baseline is different from the IPCC report, which uses a 1986-2005 baseline. Because the reference period from 1986-2005 was slightly warmer than 1971-2000, the visualizations are slightly different than those in the report, even though the same model data is used.",GSFC_20130927_IPCC m11376_21st,https://images-assets.nasa.gov/video/GSFC_20130927_IPCC m11376_21st/GSFC_20130927_IPCC m11376_21st~large.jpg
,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,Temperature Trend,,,,
,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,Precipitation,,,,
,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,Climate Change,,,,
,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,Climate Patterns,,,,
,IPCC Projections of Temperature and Precipitation in the 21st Century,2013-09-27,Earth,,,,
24,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level.  Photo Credit: (NASA/Joel Kowsky)",NHQ202408070006,https://images-assets.nasa.gov/image/NHQ202408070006/NHQ202408070006~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Karen St. Germain,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
25,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Karen St. Germain, director of the Earth Science Division of NASA’s Science Mission Directorate, speaks with the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level.  Photo Credit: (NASA/Joel Kowsky)",NHQ202408070004,https://images-assets.nasa.gov/image/NHQ202408070004/NHQ202408070004~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Karen St. Germain,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
26,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Yaítza Luna-Cruz, a program executive in the Earth Science Division of NASA’s Science Mission Directorate and program manager for the Early Career Research Program, speaks to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070002,https://images-assets.nasa.gov/image/NHQ202408070002/NHQ202408070002~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Yaítza Luna-Cruz,,,,
27,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Climate Change Research Initiative (CCRI),image,"Cynthia Hall, support scientist for the Early Career Research Program in NASA’s Earth Science Division, right, and Yaítza Luna-Cruz, a program executive in the Earth Science Division of NASA’s Science Mission Directorate and program manager for the Early Career Research Program speak to the Climate Change Research Initiative (CCRI) cohort, Wednesday, Aug. 7, 2024, at the Mary W. Jackson NASA Headquarters building in Washington, DC. The Earth Science Division’s Early Career Research Program’s Climate Change Research Initiative (CCRI) is a year-long STEM engagement and experiential learning opportunity for educators and students from high school to graduate level. Photo Credit: (NASA/Joel Kowsky)",NHQ202408070003,https://images-assets.nasa.gov/image/NHQ202408070003/NHQ202408070003~medium.jpg
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Cynthia Hall,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,DC,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Mary W. Jackson NASA Headquarters,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,NASA Early Career Research Program (ECR),,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Washington,,,,
,NASA Early Career Research Program - Climate Change Research Ini,2024-08-07,Yaítza Luna-Cruz,,,,
