,title,date_created,keywords,media_type,description,nasa_id,links
28,A Summer ABoVE the Warming Arctic,2017-12-12T00:00:00Z,"['Carbon Release', 'Carbon Sink', 'Climate', 'Climate Indicators', 'Organic Matter', 'Permafrost', 'Arctic', 'Climate Change', 'Earth', 'Wildfires']",video,"Scientists with NASA's Arctic Boreal Vulnerability Experiment - ABoVE - are studying how the Arctic region responds to climate change. Looking at everything from thawing permafrost underground to wildfires, the researchers are working to create a comprehensive picture of the warming Arctic.  This summer, the team brought a fleet of planes to fly over Alaska and Canada and gather data to complement measurements taken from the ground. The ABoVE campaign is designed to last for ten years.",GSFC_20171212_ABoVE_m12794_Arctic,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 29000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 12000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 5000, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 9500, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic.vtt', 'rel': 'captions'}]"
29,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19T00:00:00Z,"['Sea Ice', 'Temperature', 'Temperature Trend', 'Climate Indicators', 'Climate Change', 'Earth']",video,"Two key climate change indicators have broken numerous records through the first half of 2016, according to NASA analyses of ground-based observations and satellite data. Each of the first six months of 2016 set a record as the warmest respective month globally in the modern temperature record, which dates to 1880. Meanwhile, five of the first six months set records for the smallest monthly Arctic sea ice extent since consistent satellite records began in 1979. NASA researchers are in the field this summer, collecting data to better understand our changing climate.  While these two key climate indicators have broken records of late, NASA scientists said it is more significant that global temperature and Arctic sea ice are continuing their decades-long trends of change. Both trends are ultimately driven by rising atmospheric concentrations of heat-trapping carbon dioxide and greenhouse gases as a result of fossil fuel burning and deforestation. These rising concentrations directly cause warming of the atmosphere and ocean, which in turn induce sea ice melt.  NASA tracks temperature and sea ice as part of its effort to understand the Earth as a system and to understand how Earth is changing. In addition to maintaining a fleet of 20 Earth-observing satellite missions, NASA also sends researchers around the globe to investigate different facets of the planet at closer range. Right now, NASA researchers are working across the Arctic to better understand both the processes driving increased sea ice melt and the impacts of rising temperatures on Arctic ecosystems.",GSFC_20160719_SeaIce_m12306_Climate,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 39000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 17000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 6400, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 10000, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate.vtt', 'rel': 'captions'}]"
30,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21T00:00:00Z,"['climate', 'earth', 'taira allen', 'kate calvin', 'michelle hawkins', 'climate change', 'extreme weather', 'NSL', 'NASA Science Live']",video,"As Earth’s climate changes, we’re seeing shifts in the intensity of events such as record-breaking heat waves, severe floods, prolonged droughts, devastating wildfires and stronger hurricanes. Join NASA’s Chief Scientist Dr. Kate Calvin and climate expert Dr. Michelle Hawkins on Wednesday, August 21 at 3:00 p.m. ET on NASA Science Live as they discuss the science behind these changes. Have questions? Use #askNASA.----- Tahira Allen, NASA Communications Dr. Kate Calvin, NASA Chief Scientist and Senior Climate Advisor  Dr. Michelle Hawkins, Program Manager, NASA Climate Resilience and Community Action",GSFC_NSL_ExtremeWeather_Ep57,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 21000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 9100, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 3700, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 6100, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57.srt', 'rel': 'captions'}]"
31,Ask A Climate Scientist - Lagging CO2,2013-09-24T00:00:00Z,"['Climate Change', 'Earth']",video,"Is there any merit to the studies that show that historical CO2 levels lag behind temperature, and not lead them? Climate scientist Peter Hildebrand, Director of the Earth Science Division at NASA's Goddard Space Flight Center, says yes, there's merit to those studies. In the pre-industrial age, the CO2 response to temperature was that the temperature would go up and CO2 would go up. Or if the temperature went down, CO2 would go down. And the reason for that is when the temperature went up, the whole biosphere revved up and emitted CO2, and we had more CO2 in the atmosphere. So we understand that process.  In the post-industrial age, the opposite is true. Increasing CO2 in the atmosphere is leading to increased temperature. So two different things happened, one pre-industrial, where temperature was driving the CO2, and post-industrial, where CO2 was driving temperature. Which means a completely different physical-biological process is going on. And we don't understand what the consequence of that change is.  It is a fundamental change to how the earth works and the earth's radiation balance works. And so, we're very concerned because we don't see any restraining force on continued increase in temperature due to continued increase in CO2. And that's a problem.",GSFC_20130924_AACS_m11362_CO2Lag,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 29000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 14000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 6200, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 10000, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag.vtt', 'rel': 'captions'}]"
32,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14T00:00:00Z,"['NSL', 'NASA Science Live', 'Climate', 'Climate Change', 'Megan Cruz', 'Gavin Schidt', 'Kate Calvin', 'Global Temperatures']",video,"This summer, Earth has experienced some of the hottest temperatures on record and July is shaping up to follow this record-breaking trend. Join NASA climate experts Monday, August 14 at 3:30pm ET as they discuss impacts of climate change. Submit your questions using #askNASA.",20230814_NSL_Climate_Ep48,"[{'href': 'https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 31000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 15000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 6200, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 9900, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48.srt', 'rel': 'captions'}]"
33,NASA Tracks the Future of Asia's Glaciers,2019-06-26T00:00:00Z,"['Himalaya', 'Watershed', 'Glacial Landforms', 'Climate Change', 'Earth', 'Floods', 'Freshwater']",video,"Asia’s high mountains are a crucial freshwater source to one-seventh of the world’s population. Snow and glaciers in these mountains contain the largest volume of freshwater outside of Earth's polar ice sheets, leading hydrologists to nickname this region the Third Pole.   Rapid changes in the region's climate are affecting glacier flows and snowmelt. Local people are already modifying their land-use practices in response to the changing supply, and the region's ecology is transforming. Scientists estimate that by 2100, these glaciers could be up to 75% smaller in volume.   NASA's satellites observe and measure snow and ice cover remotely with multiple types of sensors. This allows scientists to create an authoritative estimate of the water budget of this region and a set of products local policy makers can use in responding to hazards and planning for a changing water supply.",GSFC_20190626_Glaciers_m13243_Asia,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 21000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 8400, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 4400, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 5600, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia.vtt', 'rel': 'captions'}]"
34,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05T00:00:00Z,"['Earth Science', 'Vice President', 'Kamala Harris', 'NASA Administrator', 'Bill Nelson', 'Goddard Visit', 'Tour', 'climate change', 'climate studies', 'GSFC']",video,"The urgency of Earth science and climate studies took the spotlight Friday, Nov. 5, as U.S. Vice President Kamala Harris visited NASA’s Goddard Space Flight Center in Greenbelt, Maryland. Alongside NASA Administrator Bill Nelson, the vice president received a firsthand look at how NASA studies climate change and provides crucial information to understand our planet’s changes and their impacts on our lives.",GSFC_20211105_M14017_VP_Harris,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 43000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 19000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 7000, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 12000, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris.srt', 'rel': 'captions'}]"
35,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03T00:00:00Z,"['ScienceCasts', 'ISS', 'International Space Station', 'photography', 'astronaut', 'climate change', 'disaster response']",video,"Stunning images of Earth captured by crew members on the International Space Station are actively supporting life on our planet, helping monitor climate change, and advancing our understanding of Earth’s changing landscapes.",322_SS101-CEO,"[{'href': 'https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 45000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 13000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 4700, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 9300, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO.srt', 'rel': 'captions'}]"
36,Salt of the Earth,2009-10-12T00:00:00Z,"['Physical Oceanography', 'Oceans', 'Ocean Circulation', 'Thermohaline Circulation', 'Salinity', 'Aquarius', 'Climate Change', 'Earth Science Week', 'Earth']",video,"Salinity plays a major role in how ocean waters circulate around the globe. Salinity changes can create ocean circulation changes that, in turn, may impact regional and global climates. The extent to which salinity impacts our global ocean circulation is still relatively unknown, but NASA's new Aquarius mission will help advance that understanding by painting a global picture of our planet's salty waters.",GSFC_20091012_Aquarius_m10504_Salt,"[{'href': 'https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 800, 'size': 25000, 'height': 450}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 400, 'size': 11000, 'height': 225}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 200, 'size': 4800, 'height': 112}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 300, 'size': 6900, 'height': 168}, {'href': 'https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt.srt', 'rel': 'captions'}]"
37,KSC-2011-2637,2011-03-30T00:00:00Z,"['ELV, Delta II, science, research, climate change, Earth mission']",image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.    Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2637,"[{'href': 'https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 856, 'size': 116000, 'height': 1280}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 428, 'size': 38000, 'height': 640}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 428, 'size': 38000, 'height': 640}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1285, 'size': 226000, 'height': 1920}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 3000, 'width': 2008, 'size': 877000}]"
38,KSC-2011-2724,2011-04-01T00:00:00Z,"['ELV, Delta II, science, research, climate change, Earth mission']",image,"VANDENBERG AIR FORCE BASE, Calif. -- Technicians prepare to unpack and unveil the Aquarius/SAC-D spacecraft in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California. The container protected the spacecraft on its journey from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.            Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: NASA/Randy Beaudoin, VAFB",KSC-2011-2724,"[{'href': 'https://images-assets.nasa.gov/image/KSC-2011-2724/KSC-2011-2724~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 172000, 'height': 850}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2724/KSC-2011-2724~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 53000, 'height': 425}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2724/KSC-2011-2724~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 53000, 'height': 425}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2724/KSC-2011-2724~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 367000, 'height': 1275}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2724/KSC-2011-2724~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 1993, 'width': 3000, 'size': 1582000}]"
39,KSC-2011-2726,2011-04-01T00:00:00Z,"['ELV, Delta II, science, research, climate change, Earth mission']",image,"VANDENBERG AIR FORCE BASE, Calif. -- Technicians unpack and unveil the Aquarius/SAC-D spacecraft in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California. The container protected the spacecraft on its journey from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.      Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: NASA/Randy Beaudoin, VAFB",KSC-2011-2726,"[{'href': 'https://images-assets.nasa.gov/image/KSC-2011-2726/KSC-2011-2726~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 169000, 'height': 850}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2726/KSC-2011-2726~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 53000, 'height': 425}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2726/KSC-2011-2726~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 53000, 'height': 425}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2726/KSC-2011-2726~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 338000, 'height': 1275}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2726/KSC-2011-2726~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 1993, 'width': 3000, 'size': 1325000}]"
40,KSC-2011-2624,2011-03-30T00:00:00Z,"['ELV, Delta II, science, research, climate change, Earth mission']",image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft arrives at Vandenberg Air Force Base in California from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.          Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2624,"[{'href': 'https://images-assets.nasa.gov/image/KSC-2011-2624/KSC-2011-2624~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 56000, 'height': 856}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2624/KSC-2011-2624~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 18000, 'height': 428}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2624/KSC-2011-2624~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 18000, 'height': 428}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2624/KSC-2011-2624~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 117000, 'height': 1285}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2624/KSC-2011-2624~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 2008, 'width': 3000, 'size': 571000}]"
41,KSC-2011-2638,2011-03-30T00:00:00Z,"['ELV, Delta II, science, research, climate change, Earth mission']",image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.    Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2638,"[{'href': 'https://images-assets.nasa.gov/image/KSC-2011-2638/KSC-2011-2638~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 116000, 'height': 856}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2638/KSC-2011-2638~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 37000, 'height': 428}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2638/KSC-2011-2638~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 37000, 'height': 428}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2638/KSC-2011-2638~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 241000, 'height': 1285}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2638/KSC-2011-2638~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 2008, 'width': 3000, 'size': 1036000}]"
42,KSC-2011-2635,2011-03-30T00:00:00Z,"['ELV, Delta II, science, research, climate change, Earth mission']",image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is transported to the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.        Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2635,"[{'href': 'https://images-assets.nasa.gov/image/KSC-2011-2635/KSC-2011-2635~medium.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1280, 'size': 94000, 'height': 856}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2635/KSC-2011-2635~small.jpg', 'rel': 'alternate', 'render': 'image', 'width': 640, 'size': 30000, 'height': 428}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2635/KSC-2011-2635~thumb.jpg', 'rel': 'preview', 'render': 'image', 'width': 640, 'size': 30000, 'height': 428}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2635/KSC-2011-2635~large.jpg', 'rel': 'alternate', 'render': 'image', 'width': 1920, 'size': 192000, 'height': 1285}, {'href': 'https://images-assets.nasa.gov/image/KSC-2011-2635/KSC-2011-2635~orig.jpg', 'rel': 'canonical', 'render': 'image', 'height': 2008, 'width': 3000, 'size': 793000}]"
